artifact,path,schema_version,sha256,artifact_sha256_valid,schema_version_valid,implementation_manifest_direct_entries,input_manifest_direct_entries,implementation_manifest_files,input_manifest_files,transitive_file_count,nested_json_count,aggregate_manifest_digest_count,implementation_manifest_valid,input_manifest_valid,aggregate_manifest_digests_valid,provenance_closure_status
best_lap,artifacts/backtests/f1/best_estimated_lap/same_season_math_remediation_v20_20260907.json,f1_best_estimated_lap_shared_latent_v11,3377bbc04f49be113f28afcc45d3c6deb0d2e80f57c66623cc8a36d1d6f3f657,True,True,20,642,22,764,779,28,10,True,True,True,pass
live_next_lap,artifacts/backtests/f1/live_next_lap/2026_math_remediation_v10_20260907.json,f1_live_next_lap_walk_forward_emitted_forecast_v3,7d857a91dd5546b799ccea1da7a95cadb41da35ab4899f1f005212f41f4fe565,True,True,30,9,30,9,39,0,0,True,True,True,pass
live_strategy_replay,artifacts/backtests/f1/live_strategy/live_strategy_math_remediation_v4_20260907.json,f1_live_strategy_replay_audit_v1,53514c61baccd9aa91e9855371101e2f1cfc7b22580da67386cbbd53a412ff78,True,True,19,18,19,21,40,0,4,True,True,True,pass
qualifying,artifacts/backtests/f1/qualifying/shared_latent_same_season_math_repaired_strict_v2_20260907.json,f1_shared_qualifying_latent_event_block_v6,9c0384ed4a263df502faadd48fb04217aa243972aae84cef54d27fa55357fcbb,True,True,9,50,9,189,198,9,0,True,True,True,pass
qualifying_probability,artifacts/backtests/f1/qualifying/shared_latent_same_season_probability_math_repaired_strict_v2_20260907.json,f1_qualifying_probability_temperature_sinkhorn_audit_v3,f5a84a304df101ee2a4bed8577cfdc48d14d62cf4b32ec7c1457eb9cd6a8cbc3,True,True,3,1,12,190,202,10,1,True,True,True,pass
race_certified,artifacts/backtests/f1/race_final_position/certified_grid_prior_math_remediation_v3_20260907.json,f1_race_certified_grid_prior_ablation_v1,4392de97b18731c5bbfca167ded9d3ad8393952ecebbbca385f6f7c2c453e34f,True,True,3,36,3,207,210,18,4,True,True,True,pass
race_main,artifacts/backtests/f1/race_final_position/survival_order_same_season_math_repaired_v11_20260907.json,f1_race_survival_order_event_block_v10,563c5f1360dfd8d3e85f6c3b497d46cf9f86e98d94f033661b15c70a9d7441fe,True,True,13,198,13,198,211,18,4,True,True,True,pass
same_season_residual,artifacts/backtests/f1/research/same_season_latent_residual_math_remediation_v3_20260907.json,f1_same_season_latent_residual_research_v3,ce22d3d254b299d3328cc43259a22bef40a13d6a54aa3ec8a5bad0e073228a23,True,True,4,50,4,189,193,9,2,True,True,True,pass
telemetry_sequence,artifacts/backtests/f1/telemetry/prequal_telemetry_residual_sequence_v6_repository_bound_2026.json,f1_prequal_telemetry_residual_research_v4,1743e0a5a492f05ec0507092b192332e33f22102a585af45a1a051472c87e4f8,True,True,5,1,5,749,754,19,3,True,True,True,pass
telemetry_tcn,artifacts/backtests/f1/telemetry/prequal_telemetry_true_tcn_research_v2_2026.json,f1_prequal_telemetry_true_tcn_research_v2,9c98244bd4c854b86850bda00a8dfd2454a845a2cbf83b1944c21e3bff09f999,True,True,6,1,6,750,756,20,3,True,True,True,pass
telemetry_tcn_matrix,artifacts/backtests/f1/telemetry/prequal_telemetry_tcn_sensitivity_matrix_v1_2026.json,f1_prequal_telemetry_tcn_sensitivity_matrix_v1,d148d512376bc7c14479ff48f07c73181fe7cf033b5a2eea8936d0067ef35197,True,True,3,1,7,757,763,27,10,True,True,True,pass
